FedEx Express U.S. Package Standard List Rates: FedEx 2Day®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
FedEx® Envelope up to 8oz.,$8.50 ,$8.65 ,$8.85 ,$9.75 ,$11.55 ,$12.20 ,$12.55 ,$19.05 ,$26.15 ,$12.05 
1,$8.50 ,$8.65 ,$8.85 ,$9.75 ,$11.55 ,$12.20 ,$12.55 ,$19.05 ,$26.15 ,$12.05 
2,$8.70 ,$8.85 ,$9.15 ,$10.50 ,$13.50 ,$14.60 ,$14.80 ,$21.10 ,$27.80 ,$12.50 
3,$8.80 ,$9.15 ,$9.70 ,$11.75 ,$15.45 ,$16.10 ,$16.65 ,$25.85 ,$28.85 ,$14.55 
4,$9.15 ,$9.35 ,$10.85 ,$13.60 ,$17.10 ,$18.40 ,$18.95 ,$26.70 ,$30.15 ,$16.90 
5,$9.35 ,$9.65 ,$11.85 ,$15.10 ,$19.50 ,$20.35 ,$21.55 ,$28.00 ,$31.25 ,$18.75 
6,$9.65 ,$10.50 ,$12.90 ,$16.45 ,$21.55 ,$22.95 ,$24.35 ,$29.50 ,$32.85 ,$21.10 
7,$10.15 ,$11.50 ,$13.95 ,$18.00 ,$24.35 ,$25.45 ,$26.85 ,$30.70 ,$34.35 ,$23.25 
8,$10.75 ,$12.55 ,$14.95 ,$19.55 ,$26.40 ,$28.15 ,$29.45 ,$32.30 ,$36.00 ,$25.65 
9,$11.30 ,$13.05 ,$16.10 ,$21.00 ,$29.25 ,$30.75 ,$32.15 ,$34.60 ,$37.90 ,$26.70 
10,$11.80 ,$13.85 ,$17.35 ,$22.45 ,$31.30 ,$33.25 ,$34.65 ,$37.40 ,$39.45 ,$28.35 
11,$12.30 ,$14.60 ,$18.15 ,$23.95 ,$33.65 ,$35.60 ,$37.05 ,$39.65 ,$40.50 ,$29.50 
