FedEx Express U.S. Package Standard List Rates: FedEx Express Saver®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
FedEx® Envelope up to 8oz.,$8.15 ,$8.20 ,$8.25 ,$8.45 ,$9.05 ,$9.55 ,$10.60 ,-,-,-
1,$8.15 ,$8.20 ,$8.25 ,$8.45 ,$9.05 ,$9.55 ,$10.60 ,-,-,-
2,$8.20 ,$8.45 ,$8.50 ,$9.10 ,$10.30 ,$11.15 ,$12.30 ,-,-,-
3,$8.40 ,$8.65 ,$9.00 ,$10.20 ,$11.90 ,$12.50 ,$13.90 ,-,-,-
4,$8.70 ,$8.90 ,$9.95 ,$11.65 ,$13.15 ,$14.20 ,$15.90 ,-,-,-
5,$8.90 ,$9.15 ,$10.90 ,$12.90 ,$14.90 ,$15.65 ,$17.85 ,-,-,-
6,$9.15 ,$9.80 ,$11.80 ,$14.15 ,$16.60 ,$17.45 ,$20.15 ,-,-,-
7,$9.80 ,$10.60 ,$12.75 ,$15.30 ,$18.45 ,$19.65 ,$22.15 ,-,-,-
8,$10.30 ,$11.60 ,$13.75 ,$16.60 ,$20.20 ,$21.55 ,$24.30 ,-,-,-
9,$10.80 ,$12.25 ,$14.70 ,$17.90 ,$22.10 ,$23.60 ,$26.45 ,-,-,-
10,$11.25 ,$12.95 ,$15.90 ,$19.15 ,$24.05 ,$25.35 ,$28.60 ,-,-,-
11,$11.80 ,$13.70 ,$16.75 ,$20.25 ,$25.80 ,$27.20 ,$30.40 ,-,-,-
12,$12.50 ,$14.40 ,$17.50 ,$21.45 ,$27.45 ,$28.95 ,$32.20 ,-,-,-
13,$13.30 ,$15.15 ,$18.35 ,$22.70 ,$28.95 ,$30.45 ,$34.05 ,-,-,-
14,$13.90 ,$16.00 ,$19.30 ,$24.10 ,$30.45 ,$32.05 ,$35.75 ,-,-,-
15,$14.40 ,$16.45 ,$20.30 ,$25.15 ,$32.05 ,$33.40 ,$37.35 ,-,-,-
16,$14.75 ,$16.95 ,$21.15 ,$25.90 ,$33.40 ,$35.05 ,$39.00 ,-,-,-
17,$15.30 ,$17.40 ,$22.10 ,$27.10 ,$34.95 ,$36.85 ,$41.00 ,-,-,-
