FedEx Express U.S. Package Standard List Rates: US to Puerto Rico Rates,,
"Effective January 2, 2006",,

Weight,International Priority Rates,International Economy Rates
FedEx® Envelope up to 8 oz.,20.45,**
FedEx Pak**     ,**,**

1,$32.75 ,$17.30 
2,$36.30 ,$19.30 
3,$39.70 ,$20.90 
4,$43.05 ,$22.90 
5,$46.40 ,$25.10 
6,$50.00 ,$27.35 
7,$53.10 ,$29.35 
8,$55.95 ,$31.45 
9,$58.80 ,$33.85 
10,$61.85 ,$36.00 
11,$64.95 ,$38.20 
12,$68.30 ,$40.00 
13,$71.65 ,$41.90 
14,$75.55 ,$43.70 
15,$78.60 ,$45.55 
16,$80.95 ,$47.70 
17,$83.00 ,$49.70 
18,$85.35 ,$51.80 
19,$87.65 ,$54.00 
20,$89.70 ,$56.00 
21,$91.80 ,$57.70 
22,$93.80 ,$59.40 
23,$95.90 ,$61.50 
24,$97.95 ,$63.50 
25,$99.75 ,$65.50 
26,$101.85 ,$67.70 
27,$103.65 ,$69.60 
28,$105.40 ,$71.50 
29,$107.75 ,$73.55 
30,$110.05 ,$75.65 
31,$112.65 ,$77.85 
32,$114.95 ,$79.85 
33,$117.05 ,$82.05 
34,$119.35 ,$84.20 
35,$121.90 ,$86.50 
36,$124.05 ,$88.70 
37,$125.95 ,$90.70 
38,$127.85 ,$92.75 
39,$130.45 ,$94.75 
40,$132.80 ,$96.65 
41,$135.45 ,$98.65 
42,$138.05 ,$100.75 
43,$140.40 ,$102.85 
44,$143.05 ,$104.85 
45,$145.90 ,$106.95 
46,$148.50 ,$109.00 
47,$150.65 ,$111.20 
48,$153.25 ,$113.10 
49,$155.85 ,$114.90 
50,$158.70 ,$116.80 
51,$161.35 ,$118.60 
52,$163.95 ,$120.45 
53,$167.05 ,$122.15 
54,$169.90 ,$124.25 
55,$172.95 ,$126.30 
56,$175.60 ,$128.15 
57,$178.70 ,$130.05 
58,$182.00 ,$132.10 
59,$185.35 ,$134.10 
60,$188.40 ,$136.60 
61,$191.25 ,$138.85 
62,$195.05 ,$141.05 
63,$198.40 ,$143.25 
64,$201.95 ,$145.80 
65,$205.05 ,$148.10 
66,$208.60 ,$150.55 
67,$211.70 ,$152.65 
68,$215.50 ,$154.85 
69,$218.85 ,$157.10 
70,$222.65 ,$159.40 
71,$226.45 ,$162.15 
72,$230.25 ,$164.70 
73,$234.05 ,$167.05 
74,$237.85 ,$169.40 
75,$241.40 ,$171.20 
76,$245.20 ,$173.10 
77,$248.55 ,$174.90 
78,$251.85 ,$176.80 
79,$254.95 ,$179.35 
80,$258.50 ,$181.75 
81,$261.60 ,$183.65 
82,$264.90 ,$185.75 
83,$268.00 ,$187.90 
84,$271.35 ,$190.10 
85,$274.20 ,$192.20 
86,$277.30 ,$194.40 
87,$280.85 ,$196.45 
88,$284.15 ,$198.45 
89,$287.75 ,$200.35 
90,$291.30 ,$202.35 
91,$294.60 ,$204.45 
92,$297.70 ,$206.35 
93,$301.05 ,$208.45 
94,$304.35 ,$210.55 
95,$307.95 ,$212.55 
96,$310.80 ,$214.55 
97,$314.10 ,$216.60 
98,$317.20 ,$218.80 
99,$320.75 ,$221.00 
100,$324.00 ,$223.00 
101,$327.24 ,$225.23 
102,$330.48 ,$227.46 
103,$333.72 ,$229.69 
104,$336.96 ,$231.92 
105,$340.20 ,$234.15 
106,$343.44 ,$236.38 
107,$346.68 ,$238.61 
108,$349.92 ,$240.84 
109,$353.16 ,$243.07 
110,$356.40 ,$245.30 
111,$359.64 ,$247.53 
112,$362.88 ,$249.76 
113,$366.12 ,$251.99 
114,$369.36 ,$254.22 
115,$372.60 ,$256.45 
116,$375.84 ,$258.68 
117,$379.08 ,$260.91 
118,$382.32 ,$263.14 
119,$385.56 ,$265.37 
120,$388.80 ,$267.60 
121,$392.04 ,$269.83 
122,$395.28 ,$272.06 
123,$398.52 ,$274.29 
124,$401.76 ,$276.52 
125,$405.00 ,$278.75 
126,$408.24 ,$280.98 
127,$411.48 ,$283.21 
128,$414.72 ,$285.44 
129,$417.96 ,$287.67 
130,$421.20 ,$289.90 
131,$424.44 ,$292.13 
132,$427.68 ,$294.36 
133,$430.92 ,$296.59 
134,$434.16 ,$298.82 
135,$437.40 ,$301.05 
136,$440.64 ,$303.28 
137,$443.88 ,$305.51 
138,$447.12 ,$307.74 
139,$450.36 ,$309.97 
140,$453.60 ,$312.20 
141,$456.84 ,$314.43 
142,$460.08 ,$316.66 
143,$463.32 ,$318.89 
144,$466.56 ,$321.12 
145,$469.80 ,$323.35 
146,$473.04 ,$325.58 
147,$476.28 ,$327.81 
148,$479.52 ,$330.04 
149,$482.76 ,$332.27 
150,$486.00 ,$334.50 

"**Based on the package weight, the corresponding rate applies. Any fraction of a pound takes the next-higher rate.",,


Hundredweight/Per-Pound Rates (multiply by total shipment weight),,

Weight,International Priority Rates,International Economy Rates
100-999 lbs.,$3.24 ,$2.23 
1000+ lbs.,$3.08 ,$2.16 



FedEx Express Standard List Rates: US to Puerto Rico Express Freight Rates,,
"Effective January 2, 2006",,

Weight,International Priority Freight Rates,International Economy Freight Rates
151-999 lbs.,$3.24 ,$2.23 
1000+ lbs.,$3.08 ,$2.16 

See the FedEx Service Guide for additional fee and surcharge information. 
