FedEx Home Delivery Standard List Base Rates ,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,

,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD,FHD
,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,2,3,4,5,6,7,8,9,14,17,92,96,22,23,25
1,$3.80 ,$3.88 ,$4.00 ,$4.16 ,$4.38 ,$4.45 ,$4.56 ,$14.04 ,$3.74 ,$14.04 ,$5.96 ,$6.14 ,$3.69 ,$5.96 ,$6.14 
2,$3.84 ,$4.07 ,$4.47 ,$4.54 ,$4.88 ,$5.00 ,$5.30 ,$15.68 ,$3.83 ,$15.68 ,$6.43 ,$6.60 ,$3.77 ,$6.43 ,$6.60 
3,$3.87 ,$4.26 ,$4.70 ,$4.85 ,$5.22 ,$5.39 ,$5.88 ,$17.13 ,$3.93 ,$17.13 ,$7.57 ,$7.77 ,$3.90 ,$7.57 ,$7.77 
4,$3.98 ,$4.41 ,$4.96 ,$5.17 ,$5.52 ,$5.70 ,$6.26 ,$18.66 ,$4.02 ,$18.66 ,$8.50 ,$8.98 ,$4.02 ,$8.50 ,$8.98 
5,$4.25 ,$4.49 ,$5.20 ,$5.41 ,$5.77 ,$6.01 ,$6.64 ,$20.47 ,$4.09 ,$20.47 ,$9.68 ,$10.21 ,$4.19 ,$9.68 ,$10.21 
6,$4.32 ,$4.68 ,$5.29 ,$5.58 ,$5.96 ,$6.25 ,$6.87 ,$22.46 ,$4.17 ,$22.46 ,$10.89 ,$11.46 ,$4.32 ,$10.89 ,$11.46 
7,$4.57 ,$4.82 ,$5.42 ,$5.77 ,$6.18 ,$6.50 ,$7.18 ,$24.09 ,$4.23 ,$24.09 ,$12.07 ,$12.70 ,$4.49 ,$12.07 ,$12.70 
8,$4.74 ,$4.98 ,$5.56 ,$5.91 ,$6.39 ,$6.81 ,$7.68 ,$25.84 ,$4.32 ,$25.84 ,$13.27 ,$14.00 ,$4.65 ,$13.27 ,$14.00 
9,$4.89 ,$5.13 ,$5.68 ,$6.06 ,$6.56 ,$7.18 ,$8.18 ,$27.74 ,$4.38 ,$27.74 ,$14.45 ,$15.28 ,$4.81 ,$14.45 ,$15.28 
10,$5.06 ,$5.16 ,$5.82 ,$6.23 ,$6.83 ,$7.69 ,$8.74 ,$29.49 ,$4.45 ,$29.49 ,$15.64 ,$16.57 ,$4.97 ,$15.64 ,$16.57 
11,$5.23 ,$5.41 ,$5.93 ,$6.40 ,$7.12 ,$8.24 ,$9.36 ,$31.31 ,$4.51 ,$31.31 ,$16.82 ,$17.82 ,$5.13 ,$16.82 ,$17.82 
12,$5.38 ,$5.59 ,$6.06 ,$6.57 ,$7.45 ,$8.79 ,$10.05 ,$32.85 ,$4.56 ,$32.85 ,$17.95 ,$19.06 ,$5.29 ,$17.95 ,$19.06 
13,$5.56 ,$5.77 ,$6.17 ,$6.72 ,$7.81 ,$9.35 ,$10.72 ,$34.31 ,$4.62 ,$34.31 ,$19.01 ,$20.22 ,$5.47 ,$19.01 ,$20.22 
14,$5.67 ,$5.95 ,$6.29 ,$6.87 ,$8.24 ,$9.90 ,$11.40 ,$35.87 ,$4.67 ,$35.87 ,$20.00 ,$21.39 ,$5.58 ,$20.00 ,$21.39 
15,$5.82 ,$6.14 ,$6.40 ,$7.03 ,$8.68 ,$10.46 ,$12.07 ,$37.33 ,$4.72 ,$37.33 ,$21.01 ,$22.56 ,$5.72 ,$21.01 ,$22.56 
16,$5.85 ,$6.25 ,$6.50 ,$7.18 ,$9.01 ,$10.90 ,$12.61 ,$39.17 ,$4.76 ,$39.17 ,$21.93 ,$23.63 ,$5.80 ,$21.93 ,$23.63 
17,$5.94 ,$6.46 ,$6.70 ,$7.47 ,$9.47 ,$11.43 ,$13.27 ,$40.81 ,$4.82 ,$40.81 ,$22.98 ,$24.87 ,$5.88 ,$22.98 ,$24.87 
18,$6.04 ,$6.67 ,$6.92 ,$7.85 ,$9.92 ,$11.95 ,$13.94 ,$42.65 ,$4.88 ,$42.65 ,$24.04 ,$26.09 ,$5.98 ,$24.04 ,$26.09 
19,$6.19 ,$6.89 ,$7.18 ,$8.21 ,$10.37 ,$12.48 ,$14.62 ,$44.39 ,$4.94 ,$44.39 ,$25.10 ,$27.31 ,$6.13 ,$25.10 ,$27.31 
20,$6.32 ,$7.12 ,$7.43 ,$8.59 ,$10.83 ,$13.01 ,$15.30 ,$46.03 ,$5.00 ,$46.03 ,$26.10 ,$28.56 ,$6.27 ,$26.10 ,$28.56 
21,$6.47 ,$7.34 ,$7.67 ,$8.95 ,$11.27 ,$13.53 ,$15.97 ,$47.40 ,$5.04 ,$47.40 ,$27.03 ,$29.78 ,$6.40 ,$27.03 ,$29.78 
22,$6.61 ,$7.56 ,$7.94 ,$9.29 ,$11.73 ,$14.06 ,$16.63 ,$48.87 ,$5.08 ,$48.87 ,$27.89 ,$30.94 ,$6.56 ,$27.89 ,$30.94 
23,$6.78 ,$7.78 ,$8.20 ,$9.63 ,$12.17 ,$14.57 ,$17.31 ,$50.51 ,$5.12 ,$50.51 ,$28.77 ,$32.12 ,$6.71 ,$28.77 ,$32.12 
24,$6.94 ,$7.98 ,$8.47 ,$9.94 ,$12.63 ,$15.11 ,$17.98 ,$52.16 ,$5.18 ,$52.16 ,$29.64 ,$33.29 ,$6.88 ,$29.64 ,$33.29 
25,$7.10 ,$8.20 ,$8.74 ,$10.24 ,$13.08 ,$15.65 ,$18.65 ,$53.81 ,$5.26 ,$53.81 ,$30.59 ,$34.44 ,$7.03 ,$30.59 ,$34.44 
26,$7.28 ,$8.39 ,$8.99 ,$10.56 ,$13.54 ,$16.14 ,$19.29 ,$55.64 ,$5.30 ,$55.64 ,$31.53 ,$35.55 ,$7.21 ,$31.53 ,$35.55 
27,$7.44 ,$8.57 ,$9.24 ,$10.87 ,$13.99 ,$16.63 ,$19.93 ,$57.20 ,$5.35 ,$57.20 ,$32.44 ,$36.65 ,$7.37 ,$32.44 ,$36.65 
28,$7.60 ,$8.77 ,$9.52 ,$11.19 ,$14.44 ,$17.13 ,$20.60 ,$58.74 ,$5.39 ,$58.74 ,$33.39 ,$37.77 ,$7.52 ,$33.39 ,$37.77 
29,$7.76 ,$8.96 ,$9.79 ,$11.52 ,$14.89 ,$17.68 ,$21.25 ,$60.40 ,$5.43 ,$60.40 ,$34.32 ,$38.86 ,$7.69 ,$34.32 ,$38.86 
30,$7.94 ,$9.18 ,$10.08 ,$11.86 ,$15.35 ,$18.24 ,$21.92 ,$61.86 ,$5.50 ,$61.86 ,$35.26 ,$39.97 ,$7.85 ,$35.26 ,$39.97 
31,$8.09 ,$9.37 ,$10.34 ,$12.18 ,$15.79 ,$18.79 ,$22.58 ,$63.42 ,$5.56 ,$63.42 ,$36.19 ,$41.03 ,$8.02 ,$36.19 ,$41.03 
32,$8.17 ,$9.57 ,$10.61 ,$12.52 ,$16.24 ,$19.33 ,$23.26 ,$64.79 ,$5.60 ,$64.79 ,$37.07 ,$42.00 ,$8.17 ,$37.07 ,$42.00 
33,$8.33 ,$9.78 ,$10.89 ,$12.87 ,$16.67 ,$19.89 ,$23.92 ,$66.16 ,$5.66 ,$66.16 ,$37.93 ,$42.91 ,$8.33 ,$37.93 ,$42.91 
34,$8.48 ,$10.00 ,$11.15 ,$13.20 ,$17.12 ,$20.44 ,$24.58 ,$67.62 ,$5.70 ,$67.62 ,$38.76 ,$43.77 ,$8.48 ,$38.76 ,$43.77 
35,$8.63 ,$10.23 ,$11.43 ,$13.53 ,$17.56 ,$21.00 ,$25.25 ,$69.28 ,$5.76 ,$69.28 ,$39.50 ,$44.57 ,$8.62 ,$39.50 ,$44.57 
36,$8.78 ,$10.42 ,$11.67 ,$13.86 ,$18.00 ,$21.55 ,$25.91 ,$70.92 ,$5.82 ,$70.92 ,$40.18 ,$45.31 ,$8.78 ,$40.18 ,$45.31 
37,$8.94 ,$10.64 ,$11.94 ,$14.20 ,$18.40 ,$22.10 ,$26.56 ,$72.57 ,$5.86 ,$72.57 ,$40.86 ,$46.04 ,$8.94 ,$40.86 ,$46.04 
38,$9.08 ,$10.84 ,$12.20 ,$14.54 ,$18.82 ,$22.65 ,$27.20 ,$74.30 ,$5.91 ,$74.30 ,$41.54 ,$46.78 ,$9.08 ,$41.54 ,$46.78 
39,$9.21 ,$11.05 ,$12.47 ,$14.86 ,$19.23 ,$23.19 ,$27.82 ,$75.76 ,$5.95 ,$75.76 ,$42.24 ,$47.51 ,$9.22 ,$42.24 ,$47.51 
40,$9.35 ,$11.29 ,$12.74 ,$15.20 ,$19.64 ,$23.75 ,$28.45 ,$77.51 ,$6.00 ,$77.51 ,$42.91 ,$48.32 ,$9.34 ,$42.91 ,$48.32 
