FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
1,$3.80 ,$3.88 ,$4.00 ,$4.16 ,$4.38 ,$4.45 ,$4.56 ,$14.04 ,$14.04 ,$3.74 ,$14.04 ,$9.15 ,$14.85 ,$5.96 ,$6.14 ,$3.69 ,$5.96 ,$6.14 
2,$3.84 ,$4.07 ,$4.47 ,$4.54 ,$4.88 ,$5.00 ,$5.30 ,$15.68 ,$15.68 ,$3.83 ,$15.68 ,$9.95 ,$15.75 ,$6.43 ,$6.60 ,$3.77 ,$6.43 ,$6.60 
3,$3.87 ,$4.26 ,$4.70 ,$4.85 ,$5.22 ,$5.39 ,$5.88 ,$17.13 ,$17.13 ,$3.93 ,$17.13 ,$10.60 ,$16.70 ,$7.57 ,$7.77 ,$3.90 ,$7.57 ,$7.77 
4,$3.98 ,$4.41 ,$4.96 ,$5.17 ,$5.52 ,$5.70 ,$6.26 ,$18.66 ,$18.66 ,$4.02 ,$18.66 ,$11.40 ,$17.55 ,$8.50 ,$8.98 ,$4.02 ,$8.50 ,$8.98 
5,$4.25 ,$4.49 ,$5.20 ,$5.41 ,$5.77 ,$6.01 ,$6.64 ,$20.47 ,$20.47 ,$4.09 ,$20.47 ,$12.15 ,$18.40 ,$9.68 ,$10.21 ,$4.19 ,$9.68 ,$10.21 
6,$4.32 ,$4.68 ,$5.29 ,$5.58 ,$5.96 ,$6.25 ,$6.87 ,$22.46 ,$22.46 ,$4.17 ,$22.46 ,$12.90 ,$19.20 ,$10.89 ,$11.46 ,$4.32 ,$10.89 ,$11.46 
7,$4.57 ,$4.82 ,$5.42 ,$5.77 ,$6.18 ,$6.50 ,$7.18 ,$24.09 ,$24.09 ,$4.23 ,$24.09 ,$13.60 ,$19.90 ,$12.07 ,$12.70 ,$4.49 ,$12.07 ,$12.70 
8,$4.74 ,$4.98 ,$5.56 ,$5.91 ,$6.39 ,$6.81 ,$7.68 ,$25.84 ,$25.84 ,$4.32 ,$25.84 ,$14.25 ,$20.70 ,$13.27 ,$14.00 ,$4.65 ,$13.27 ,$14.00 
9,$4.89 ,$5.13 ,$5.68 ,$6.06 ,$6.56 ,$7.18 ,$8.18 ,$27.74 ,$27.74 ,$4.38 ,$27.74 ,$14.90 ,$21.50 ,$14.45 ,$15.28 ,$4.81 ,$14.45 ,$15.28 
10,$5.06 ,$5.16 ,$5.82 ,$6.23 ,$6.83 ,$7.69 ,$8.74 ,$29.49 ,$29.49 ,$4.45 ,$29.49 ,$15.60 ,$22.30 ,$15.64 ,$16.57 ,$4.97 ,$15.64 ,$16.57 
11,$5.23 ,$5.41 ,$5.93 ,$6.40 ,$7.12 ,$8.24 ,$9.36 ,$31.31 ,$31.31 ,$4.51 ,$31.31 ,$16.20 ,$23.15 ,$16.82 ,$17.82 ,$5.13 ,$16.82 ,$17.82 
12,$5.38 ,$5.59 ,$6.06 ,$6.57 ,$7.45 ,$8.79 ,$10.05 ,$32.85 ,$32.85 ,$4.56 ,$32.85 ,$16.85 ,$23.95 ,$17.95 ,$19.06 ,$5.29 ,$17.95 ,$19.06 
