FedEx Express U.S. Package Standard List Rates: FedEx Priority Overnight®,,,,,,,,,,
"Effective January 2, 2006",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
FedEx® Envelope up to 8oz.,$13.70 ,$15.90 ,$17.90 ,$18.45 ,$19.30 ,$19.90 ,$20.75 ,$22.10 ,$26.00 ,$19.95 
1,$17.00 ,$21.90 ,$25.70 ,$28.35 ,$30.85 ,$32.75 ,$33.30 ,$33.65 ,$34.45 ,$29.90 
2,$17.90 ,$23.40 ,$29.10 ,$31.70 ,$34.65 ,$35.75 ,$37.10 ,$37.40 ,$37.40 ,$32.60 
3,$19.85 ,$24.70 ,$32.25 ,$34.90 ,$38.45 ,$39.50 ,$40.60 ,$40.90 ,$47.70 ,$36.10 
4,$20.90 ,$25.70 ,$35.35 ,$38.20 ,$41.95 ,$43.15 ,$44.40 ,$44.70 ,$51.70 ,$40.15 
5,$22.00 ,$27.35 ,$38.70 ,$41.85 ,$45.50 ,$46.25 ,$47.85 ,$49.00 ,$55.25 ,$43.65 
6,$23.00 ,$28.85 ,$41.05 ,$44.95 ,$49.25 ,$50.15 ,$52.25 ,$52.75 ,$59.25 ,$47.70 
7,$23.80 ,$30.65 ,$43.65 ,$48.10 ,$53.05 ,$54.10 ,$55.50 ,$56.00 ,$63.05 ,$49.55 
8,$24.80 ,$32.25 ,$46.25 ,$50.95 ,$56.85 ,$57.70 ,$58.50 ,$58.95 ,$66.00 ,$52.80 
9,$25.60 ,$34.05 ,$49.15 ,$54.10 ,$60.30 ,$61.60 ,$62.40 ,$63.00 ,$70.05 ,$56.60 
10,$26.05 ,$35.75 ,$52.50 ,$57.45 ,$63.95 ,$65.00 ,$66.05 ,$66.50 ,$73.80 ,$60.10 
11,$27.45 ,$36.65 ,$55.10 ,$60.30 ,$67.15 ,$68.65 ,$69.70 ,$70.55 ,$77.05 ,$61.70 
12,$28.20 ,$37.70 ,$57.70 ,$63.20 ,$70.40 ,$71.75 ,$73.10 ,$73.50 ,$78.70 ,$65.75 
13,$29.00 ,$39.25 ,$60.30 ,$66.30 ,$73.30 ,$75.55 ,$76.65 ,$77.00 ,$80.85 ,$67.10 
14,$29.80 ,$40.30 ,$62.90 ,$69.85 ,$76.20 ,$78.50 ,$80.40 ,$80.75 ,$83.00 ,$69.25 
15,$30.85 ,$42.10 ,$66.05 ,$73.05 ,$78.80 ,$81.25 ,$83.40 ,$83.75 ,$85.40 ,$71.15 
16,$31.90 ,$43.65 ,$67.60 ,$75.00 ,$80.15 ,$82.85 ,$85.55 ,$85.90 ,$88.65 ,$74.90 
17,$32.65 ,$44.95 ,$69.15 ,$76.70 ,$82.60 ,$84.75 ,$87.45 ,$87.80 ,$91.05 ,$76.25 
18,$33.70 ,$45.75 ,$71.00 ,$78.00 ,$84.50 ,$86.60 ,$89.65 ,$89.95 ,$94.60 ,$77.85 
19,$34.50 ,$46.55 ,$72.55 ,$79.85 ,$86.35 ,$88.25 ,$92.55 ,$92.90 ,$97.00 ,$80.00 
20,$35.30 ,$48.10 ,$74.90 ,$81.90 ,$88.55 ,$90.45 ,$94.25 ,$94.75 ,$103.20 ,$81.90 
21,$36.35 ,$48.85 ,$76.95 ,$83.75 ,$90.70 ,$92.90 ,$96.65 ,$96.95 ,$105.90 ,$83.55 
22,$37.10 ,$49.65 ,$79.05 ,$85.80 ,$92.90 ,$94.90 ,$98.85 ,$99.10 ,$108.30 ,$84.90 
23,$37.90 ,$50.95 ,$80.85 ,$88.15 ,$94.50 ,$97.00 ,$101.25 ,$101.80 ,$109.95 ,$87.30 
24,$38.95 ,$52.00 ,$82.95 ,$90.75 ,$96.95 ,$99.40 ,$103.45 ,$103.70 ,$112.10 ,$88.90 
25,$39.75 ,$53.30 ,$85.30 ,$93.35 ,$99.10 ,$101.80 ,$105.35 ,$106.90 ,$114.25 ,$90.25 
26,$40.80 ,$54.60 ,$87.65 ,$95.45 ,$101.80 ,$104.25 ,$106.95 ,$108.55 ,$116.15 ,$92.40 
27,$41.80 ,$55.40 ,$90.25 ,$97.75 ,$104.50 ,$105.90 ,$109.95 ,$111.60 ,$118.05 ,$96.45 
28,$42.60 ,$56.40 ,$92.05 ,$99.85 ,$106.35 ,$108.30 ,$111.85 ,$113.50 ,$120.45 ,$98.60 
29,$43.40 ,$57.45 ,$94.15 ,$102.20 ,$108.85 ,$110.75 ,$114.25 ,$115.95 ,$123.15 ,$100.25 
30,$44.70 ,$58.25 ,$96.20 ,$104.55 ,$111.00 ,$112.90 ,$117.00 ,$118.75 ,$125.30 ,$101.85 
31,$45.75 ,$59.55 ,$98.30 ,$106.90 ,$113.20 ,$114.80 ,$119.40 ,$121.20 ,$127.45 ,$103.20 
32,$46.55 ,$61.10 ,$100.35 ,$109.20 ,$115.10 ,$117.80 ,$122.15 ,$123.95 ,$130.15 ,$105.90 
33,$47.85 ,$62.65 ,$102.45 ,$112.10 ,$118.35 ,$120.25 ,$124.85 ,$126.70 ,$132.85 ,$107.50 
34,$48.90 ,$64.50 ,$104.55 ,$114.40 ,$120.75 ,$122.95 ,$127.80 ,$129.70 ,$135.30 ,$109.15 
35,$49.65 ,$65.50 ,$106.90 ,$117.00 ,$123.20 ,$125.65 ,$130.25 ,$132.20 ,$137.95 ,$110.75 
36,$50.70 ,$66.55 ,$109.20 ,$119.90 ,$125.65 ,$128.90 ,$132.95 ,$134.95 ,$140.95 ,$112.65 
37,$51.50 ,$67.60 ,$111.30 ,$122.20 ,$127.80 ,$131.35 ,$135.40 ,$137.40 ,$143.10 ,$114.80 
38,$52.30 ,$68.40 ,$113.40 ,$124.55 ,$130.25 ,$134.05 ,$138.65 ,$140.70 ,$145.80 ,$116.70 
39,$53.35 ,$69.40 ,$115.20 ,$126.65 ,$133.25 ,$137.05 ,$141.35 ,$143.45 ,$148.75 ,$118.30 
40,$54.10 ,$70.70 ,$117.55 ,$129.25 ,$136.20 ,$139.45 ,$144.35 ,$146.50 ,$151.45 ,$119.65 
41,$54.90 ,$71.75 ,$120.15 ,$131.60 ,$138.65 ,$141.90 ,$147.30 ,$149.50 ,$154.70 ,$122.05 
42,$55.70 ,$73.05 ,$122.20 ,$133.65 ,$141.10 ,$145.15 ,$150.30 ,$152.55 ,$157.10 ,$123.70 
43,$56.75 ,$74.60 ,$124.55 ,$135.50 ,$143.25 ,$147.60 ,$153.30 ,$155.60 ,$159.55 ,$125.30 
44,$57.80 ,$75.90 ,$126.90 ,$137.85 ,$146.25 ,$150.05 ,$155.45 ,$157.75 ,$162.50 ,$126.90 
45,$59.10 ,$76.95 ,$129.50 ,$139.90 ,$148.95 ,$153.00 ,$157.90 ,$160.25 ,$165.45 ,$129.10 
46,$60.15 ,$78.25 ,$131.60 ,$142.00 ,$151.10 ,$155.45 ,$160.85 ,$163.25 ,$167.60 ,$130.95 
